Time,Type,Instrument,Product,Qty.,Avg. price,Status
2020-04-01 11:03:22,BUY,ADANIPOWER,MIS,500,26.95,COMPLETE
2020-04-01 11:03:17,BUY,ADANIPOWER,MIS,1000,0,REJECTED
2020-04-01 11:03:05,SELL,TATAMOTORS,MIS,200,69.4,COMPLETE
2020-04-01 11:02:07,BUY,ADANIPOWER,MIS,1200,26.75,REJECTED
2020-04-01 11:01:49,BUY,ADANIPOWER,MIS,1500,26.8,REJECTED
2020-04-01 11:01:38,SELL,MOTHERSUMI,MIS,300,0,REJECTED
2020-04-01 11:01:35,SELL,MOTHERSUMI,MIS,300,0,REJECTED
2020-04-01 10:56:42,BUY,TATAMOTORS,MIS,200,69.85,COMPLETE
2020-04-01 10:43:33,BUY,ADANIPOWER,MIS,1000,26.9,REJECTED
2020-04-01 10:42:39,BUY,ADANIPOWER,MIS,100,27.1,COMPLETE
2020-04-01 10:39:53,BUY,MOTHERSUMI,MIS,300,60.65,COMPLETE
2020-04-01 10:37:20,SELL,ADANIPOWER,MIS,1000,27.4,CANCELLED
2020-04-01 10:34:39,BUY,VEDL,MIS,100,64.05,CANCELLED
2020-04-01 10:33:32,SELL,TATAMOTORS,MIS,100,70.8,CANCELLED
2020-04-01 10:31:24,BUY,TATAMOTORS,MIS,400,70.7,COMPLETE
2020-04-01 10:15:09,SELL,ADANIPOWER,MIS,100,27.25,COMPLETE
2020-04-01 10:14:43,SELL,ADANIPOWER,MIS,200,27.25,REJECTED
2020-04-01 10:14:24,SELL,IDFCFIRSTB,MIS,50,20.8,CANCELLED
2020-04-01 10:00:51,SELL,TATAMOTORS,MIS,200,70.3,COMPLETE
2020-04-01 09:57:58,SELL,TATAMOTORS,MIS,200,70.25,COMPLETE
2020-04-01 09:57:39,SELL,ADANIPOWER,MIS,1000,27.1,COMPLETE
2020-04-01 09:57:32,SELL,TATAMOTORS,MIS,100,70.25,REJECTED
2020-04-01 09:51:40,BUY,ADANIPOWER,MIS,1000,26.95,COMPLETE
2020-04-01 09:50:44,SELL,TATAMOTORS,MIS,200,70.05,COMPLETE
2020-04-01 09:47:55,SELL,TATAMOTORS,MIS,200,69.95,CANCELLED
2020-04-01 09:46:31,SELL,TATAMOTORS,MIS,200,69.65,CANCELLED
2020-04-01 09:44:21,BUY,ADANIPOWER,CNC,20,27,CANCELLED
2020-04-01 09:44:13,SELL,MOTHERSUMI,MIS,100,59.8,COMPLETE
2020-04-01 09:42:52,BUY,TATAMOTORS,MIS,200,69.45,COMPLETE
2020-04-01 09:42:33,BUY,MOTHERSUMI,MIS,200,59.15,REJECTED
2020-04-01 09:39:56,BUY,MOTHERSUMI,MIS,300,59.85,REJECTED
2020-04-01 09:35:35,BUY,MOTHERSUMI,MIS,100,59.8,COMPLETE
2020-04-01 09:34:03,BUY,VEDL,MIS,100,64.05,CANCELLED
2020-04-01 09:33:35,SELL,VEDL,MIS,100,64.1,CANCELLED
2020-04-01 09:32:44,BUY,TATAMOTORS,MIS,400,69.8,COMPLETE
2020-04-01 09:19:54,SELL,TATAMOTORS,MIS,100,70.1,COMPLETE
2020-04-01 09:15:32,SELL,TATAMOTORS,MIS,300,69.85,COMPLETE
2020-04-01 09:15:19,SELL,TATAMOTORS,MIS,500,0,REJECTED
2020-04-01 09:15:13,SELL,TATAMOTORS,MIS,1000,0,REJECTED
