Time,Type,Instrument,Product,Qty.,Avg. price,Status
2020-04-08 15:08:35,SELL,WIPRO,MIS,100,193,COMPLETE
2020-04-08 13:40:39,BUY,BANDHANBNK,MIS,50,190.3,CANCELLED
2020-04-08 13:39:20,BUY,BANDHANBNK,MIS,200,190.4,REJECTED
2020-04-08 13:37:09,SELL,ADANIPOWER,MIS,700,29,COMPLETE
2020-04-08 13:35:58,BUY,CIPLA,MIS,10,521.4,CANCELLED
2020-04-08 13:23:15,BUY,ADANIPOWER,MIS,700,29.1,COMPLETE
2020-04-08 13:17:42,SELL,GLENMARK,MIS,100,235.21,COMPLETE
2020-04-08 12:01:24,BUY,VEDL,MIS,100,69.1,COMPLETE
2020-04-08 11:58:38,SELL,VEDL,MIS,100,68.9,COMPLETE
2020-04-08 11:26:20,BUY,GLENMARK,MIS,100,234.65,COMPLETE
2020-04-08 11:25:33,BUY,WIPRO,MIS,100,198.2,CANCELLED
2020-04-08 11:22:08,BUY,WIPRO,MIS,100,198,COMPLETE
2020-04-08 11:19:45,SELL,ZEEL,MIS,100,144.25,COMPLETE
2020-04-08 11:18:09,BUY,ZEEL,MIS,100,143.9,COMPLETE
2020-04-08 11:16:59,SELL,ZEEL,MIS,200,143.9,COMPLETE
2020-04-08 11:07:48,BUY,ZEEL,MIS,200,143,COMPLETE
2020-04-08 11:01:25,BUY,MARICO,MIS,100,298,COMPLETE
2020-04-08 10:58:46,SELL,MARICO,MIS,100,298.55,COMPLETE
2020-04-08 10:54:57,SELL,ACCELYA,MIS,10,882.65,COMPLETE
2020-04-08 10:54:36,BUY,ACCELYA,MIS,10,882.63,COMPLETE
2020-04-08 10:52:35,BUY,CIPLA,MIS,100,516.65,COMPLETE
2020-04-08 10:51:47,SELL,CIPLA,MIS,100,517.05,COMPLETE
2020-04-08 10:51:15,SELL,CIPLA,MIS,100,516.2,COMPLETE
2020-04-08 10:43:53,BUY,CIPLA,MIS,100,515.35,COMPLETE
2020-04-08 10:43:04,SELL,ZEEL,MIS,200,145.25,COMPLETE
2020-04-08 10:42:27,BUY,ZEEL,MIS,200,144.65,COMPLETE
2020-04-08 10:42:20,BUY,ZEEL,MIS,400,0,REJECTED
2020-04-08 10:37:12,BUY,GLENMARK,MIS,99,237,COMPLETE
2020-04-08 10:36:58,BUY,GLENMARK,MIS,1,236.9,COMPLETE
2020-04-08 10:36:33,SELL,GLENMARK,MIS,100,236.5,COMPLETE
2020-04-08 10:33:12,SELL,MARICO,MIS,199,298.35,COMPLETE
2020-04-08 10:33:03,SELL,MARICO,MIS,1,298.45,COMPLETE
2020-04-08 10:30:42,BUY,MARICO,MIS,200,298,COMPLETE
2020-04-08 10:29:18,SELL,CIPLA,MIS,100,516.5,COMPLETE
2020-04-08 10:25:28,BUY,CIPLA,MIS,100,515.8,COMPLETE
2020-04-08 10:24:13,SELL,ZYDUSWELL,MIS,10,1471.35,COMPLETE
2020-04-08 10:23:37,BUY,ZYDUSWELL,MIS,10,1473.15,COMPLETE
2020-04-08 10:22:54,SELL,ZYDUSWELL,MIS,50,1475,COMPLETE
2020-04-08 10:19:02,BUY,ZYDUSWELL,MIS,50,1464.4,COMPLETE
2020-04-08 10:17:10,BUY,ZYDUSWELL,MIS,100,1462.45,REJECTED
