Time,Type,Instrument,Product,Qty.,Avg. price,Status
2020-04-09 15:21:37,BUY,MOTHERSUMI,MIS,400,66.2,COMPLETE
2020-04-09 15:16:34,SELL,MOTHERSUMI,MIS,400,66.1,COMPLETE
2020-04-09 15:14:23,BUY,TATAPOWER,MIS,50,36.55,COMPLETE
2020-04-09 15:10:22,SELL,TATAPOWER,MIS,50,36.5,COMPLETE
2020-04-09 15:07:49,SELL,BANDHANBNK,MIS,200,193.4,REJECTED
2020-04-09 15:04:48,BUY,MOTHERSUMI,MIS,400,65,COMPLETE
2020-04-09 14:55:05,SELL,MOTHERSUMI,MIS,400,65.7,COMPLETE
2020-04-09 14:53:03,BUY,TATAMOTORS,MIS,400,74,CANCELLED
2020-04-09 14:12:26,SELL,APOLLOTYRE,MIS,300,89.5,COMPLETE
2020-04-09 13:55:11,BUY,APOLLOTYRE,MIS,300,89.1,COMPLETE
2020-04-09 13:51:11,SELL,APOLLOTYRE,MIS,400,89.25,CANCELLED
2020-04-09 13:48:17,SELL,AMBUJACEM,CNC,200,0,REJECTED
2020-04-09 13:47:32,SELL,AMBUJACEM,CNC,300,160.45,REJECTED
2020-04-09 13:44:06,BUY,SBIN,MIS,100,187,COMPLETE
2020-04-09 13:21:21,SELL,SBIN,MIS,100,188.8,COMPLETE
2020-04-09 13:20:21,SELL,SBIN,MIS,200,189,REJECTED
2020-04-09 13:17:54,BUY,SANOFI,MIS,9,7440,COMPLETE
2020-04-09 12:56:47,SELL,SANOFI,MIS,9,7432.05,COMPLETE
2020-04-09 12:51:29,BUY,WIPRO,MIS,300,197.15,COMPLETE
2020-04-09 12:31:02,SELL,WIPRO,MIS,300,196.4,COMPLETE
2020-04-09 12:30:49,SELL,WIPRO,MIS,20,196.4,CANCELLED
2020-04-09 12:30:34,SELL,WIPRO,MIS,300,196.4,REJECTED
2020-04-09 12:22:01,BUY,CHOLAFIN,MIS,150,171.95,COMPLETE
2020-04-09 11:43:37,SELL,CHOLAFIN,MIS,100,172,COMPLETE
2020-04-09 11:42:27,SELL,CHOLAFIN,MIS,50,172,COMPLETE
2020-04-09 11:41:19,SELL,EQUITAS,MIS,500,40,COMPLETE
2020-04-09 11:22:35,BUY,CHOLAFIN,MIS,30,169.75,COMPLETE
2020-04-09 11:20:48,BUY,EQUITAS,MIS,500,39.8,COMPLETE
2020-04-09 11:20:05,BUY,APOLLOTYRE,MIS,200,88.75,COMPLETE
2020-04-09 11:11:32,SELL,CIPLA,MIS,10,582.95,COMPLETE
2020-04-09 11:03:19,SELL,CHOLAFIN,MIS,30,164.15,COMPLETE
2020-04-09 10:54:47,BUY,MOTHERSUMI,MIS,100,60.05,COMPLETE
2020-04-09 10:39:33,BUY,AXISBANK,MIS,20,407.85,COMPLETE
2020-04-09 10:30:15,SELL,MOTHERSUMI,MIS,100,61.2,COMPLETE
2020-04-09 10:30:01,SELL,MOTHERSUMI,MIS,200,61.15,REJECTED
2020-04-09 10:26:19,SELL,ASHOKLEY,MIS,100,45.4,COMPLETE
2020-04-09 10:17:48,SELL,ASHOKLEY,MIS,100,44.95,CANCELLED
2020-04-09 10:17:28,SELL,CIPLA,MIS,10,595.35,CANCELLED
2020-04-09 10:17:19,BUY,ASHOKLEY,MIS,100,44.9,COMPLETE
2020-04-09 10:11:58,SELL,APOLLOTYRE,MIS,200,88.25,COMPLETE
2020-04-09 10:05:20,SELL,AXISBANK,MIS,20,408.2,COMPLETE
2020-04-09 10:04:59,SELL,APOLLOTYRE,MIS,200,86.7,COMPLETE
2020-04-09 10:04:39,SELL,AXISBANK,MIS,20,408.85,COMPLETE
2020-04-09 10:01:09,SELL,CIPLA,MIS,10,593.35,CANCELLED
2020-04-09 09:55:55,BUY,ZYDUSWELL,MIS,1,1490.15,CANCELLED
2020-04-09 09:42:09,BUY,CIPLA,MIS,10,590.4,COMPLETE
2020-04-09 09:40:38,BUY,AXISBANK,MIS,20,408.7,COMPLETE
2020-04-09 09:39:58,BUY,AXISBANK,MIS,100,0,REJECTED
2020-04-09 09:37:37,BUY,APOLLOTYRE,MIS,200,86.55,COMPLETE
2020-04-09 09:36:42,SELL,BANDHANBNK,CNC,20,201.3,COMPLETE
2020-04-09 09:35:58,BUY,ASHOKLEY,CNC,100,45.3,REJECTED
2020-04-09 09:35:41,BUY,ASHOKLEY,CNC,200,45.3,REJECTED
2020-04-09 09:34:17,SELL,MARICO,CNC,2,293.8,COMPLETE
2020-04-09 09:33:33,SELL,JINDALSTEL,CNC,20,89.7,COMPLETE
2020-04-09 09:21:09,SELL,GLENMARK,CNC,5,0,REJECTED
2020-04-09 09:18:27,BUY,MARICO,CNC,2,298.9,COMPLETE
2020-04-09 09:15:56,BUY,BANDHANBNK,CNC,20,203.34,COMPLETE
2020-04-09 09:15:48,BUY,JINDALSTEL,CNC,20,89.3,COMPLETE
